PetID,Date,ProcedureType,ProcedureSubCode,procedurecode,
A8-1181,42379,VACCINATIONS,05,VACCINATIONS05,#SPILL!
E7-3766,42380,VACCINATIONS,05,VACCINATIONS05,
B8-8740,42380,VACCINATIONS,05,VACCINATIONS05,
D4-9443,42380,VACCINATIONS,05,VACCINATIONS05,
F6-3398,42381,HOSPITALIZATION,01,HOSPITALIZATION01,
E2-6642,42381,VACCINATIONS,05,VACCINATIONS05,
A4-1165,42381,VACCINATIONS,05,VACCINATIONS05,
F9-9345,42381,VACCINATIONS,05,VACCINATIONS05,
F3-9375,42381,VACCINATIONS,05,VACCINATIONS05,
F9-5311,42381,GENERAL SURGERIES,06,GENERAL SURGERIES06,
E0-7735,42381,GENERAL SURGERIES,03,GENERAL SURGERIES03,
D2-8905,42382,VACCINATIONS,05,VACCINATIONS05,
E8-8379,42382,VACCINATIONS,05,VACCINATIONS05,
C7-1080,42382,VACCINATIONS,05,VACCINATIONS05,
A0-3535,42382,VACCINATIONS,05,VACCINATIONS05,
F0-5332,42382,VACCINATIONS,05,VACCINATIONS05,
D7-2363,42382,VACCINATIONS,05,VACCINATIONS05,
D2-8747,42382,VACCINATIONS,05,VACCINATIONS05,
A1-3776,42382,VACCINATIONS,05,VACCINATIONS05,
E6-4462,42382,GENERAL SURGERIES,14,GENERAL SURGERIES14,
E9-6803,42382,GROOMING,03,GROOMING03,
C4-2411,42382,GROOMING,03,GROOMING03,
C6-1472,42382,GROOMING,01,GROOMING01,
B3-1131,42383,GROOMING,01,GROOMING01,
D2-6081,42384,GENERAL SURGERIES,03,GENERAL SURGERIES03,
E7-3627,42385,ORTHOPEDIC,02,ORTHOPEDIC02,
C1-8723,42385,VACCINATIONS,03,VACCINATIONS03,
F5-7375,42385,VACCINATIONS,05,VACCINATIONS05,
F6-8666,42385,VACCINATIONS,05,VACCINATIONS05,
F6-8478,42385,VACCINATIONS,05,VACCINATIONS05,
E0-6211,42385,VACCINATIONS,05,VACCINATIONS05,
F3-2539,42385,VACCINATIONS,05,VACCINATIONS05,
F3-8555,42385,VACCINATIONS,05,VACCINATIONS05,
A4-4159,42385,VACCINATIONS,05,VACCINATIONS05,
A3-3339,42385,VACCINATIONS,05,VACCINATIONS05,
D8-6677,42385,VACCINATIONS,05,VACCINATIONS05,
A2-4947,42385,VACCINATIONS,05,VACCINATIONS05,
B9-6218,42385,VACCINATIONS,05,VACCINATIONS05,
D6-2236,42385,VACCINATIONS,05,VACCINATIONS05,
D4-4625,42385,VACCINATIONS,05,VACCINATIONS05,
B2-9810,42385,VACCINATIONS,05,VACCINATIONS05,
C1-9941,42385,VACCINATIONS,05,VACCINATIONS05,
B3-8928,42385,VACCINATIONS,05,VACCINATIONS05,
D0-1215,42385,VACCINATIONS,05,VACCINATIONS05,
D0-6732,42385,VACCINATIONS,05,VACCINATIONS05,
B1-3264,42385,VACCINATIONS,05,VACCINATIONS05,
B0-4748,42385,GENERAL SURGERIES,06,GENERAL SURGERIES06,
E2-7605,42385,GROOMING,03,GROOMING03,
C0-7481,42385,GROOMING,01,GROOMING01,
B1-9230,42385,GROOMING,01,GROOMING01,
D9-8608,42385,GROOMING,01,GROOMING01,
D7-1251,42386,GROOMING,01,GROOMING01,
A6-8584,42386,ORTHOPEDIC,08,ORTHOPEDIC08,
B0-6294,42387,VACCINATIONS,05,VACCINATIONS05,
A8-9910,42387,GROOMING,01,GROOMING01,
D3-5820,42387,GENERAL SURGERIES,03,GENERAL SURGERIES03,
A7-2884,42388,OFFICE FEES,03,OFFICE FEES03,
E5-2832,42388,ORTHOPEDIC,05,ORTHOPEDIC05,
D6-9256,42389,VACCINATIONS,05,VACCINATIONS05,
F9-2733,42389,GROOMING,01,GROOMING01,
D8-2576,42390,VACCINATIONS,05,VACCINATIONS05,
T0-3277,42391,VACCINATIONS,05,VACCINATIONS05,
A4-8539,42391,VACCINATIONS,05,VACCINATIONS05,
A1-9741,42391,VACCINATIONS,05,VACCINATIONS05,
C1-1858,42391,VACCINATIONS,05,VACCINATIONS05,
F8-3495,42391,VACCINATIONS,05,VACCINATIONS05,
F9-3299,42391,VACCINATIONS,05,VACCINATIONS05,
A5-2650,42391,VACCINATIONS,05,VACCINATIONS05,
F3-9496,42391,VACCINATIONS,05,VACCINATIONS05,
B2-6133,42391,VACCINATIONS,05,VACCINATIONS05,
F5-1385,42391,GROOMING,01,GROOMING01,
A0-1450,42391,GENERAL SURGERIES,03,GENERAL SURGERIES03,
B1-4859,42392,VACCINATIONS,05,VACCINATIONS05,
F9-1493,42392,VACCINATIONS,05,VACCINATIONS05,
D6-9926,42392,GENERAL SURGERIES,15,GENERAL SURGERIES15,
F2-8019,42392,GROOMING,01,GROOMING01,
E2-6946,42393,VACCINATIONS,05,VACCINATIONS05,
C9-5042,42393,VACCINATIONS,05,VACCINATIONS05,
B9-1264,42393,GROOMING,03,GROOMING03,
A3-5972,42394,GENERAL SURGERIES,15,GENERAL SURGERIES15,
C2-9911,42394,VACCINATIONS,05,VACCINATIONS05,
F6-1914,42395,VACCINATIONS,05,VACCINATIONS05,
C4-2260,42395,VACCINATIONS,05,VACCINATIONS05,
E6-6214,42395,VACCINATIONS,05,VACCINATIONS05,
A2-9373,42395,VACCINATIONS,05,VACCINATIONS05,
D4-9277,42395,VACCINATIONS,05,VACCINATIONS05,
E4-7320,42395,GROOMING,01,GROOMING01,
B1-2049,42395,GENERAL SURGERIES,03,GENERAL SURGERIES03,
C6-4302,42396,VACCINATIONS,05,VACCINATIONS05,
A3-8070,42396,VACCINATIONS,05,VACCINATIONS05,
A8-5040,42396,VACCINATIONS,05,VACCINATIONS05,
D7-6389,42396,VACCINATIONS,05,VACCINATIONS05,
C7-7440,42396,VACCINATIONS,05,VACCINATIONS05,
F1-9184,42396,VACCINATIONS,05,VACCINATIONS05,
A4-7721,42396,VACCINATIONS,05,VACCINATIONS05,
F2-4402,42396,VACCINATIONS,05,VACCINATIONS05,
D6-4471,42396,VACCINATIONS,05,VACCINATIONS05,
E2-5546,42396,VACCINATIONS,05,VACCINATIONS05,
D5-6806,42396,VACCINATIONS,05,VACCINATIONS05,
F9-1466,42396,VACCINATIONS,05,VACCINATIONS05,
E0-2041,42396,VACCINATIONS,05,VACCINATIONS05,
E7-8695,42396,GENERAL SURGERIES,01,GENERAL SURGERIES01,
F4-6400,42396,ORTHOPEDIC,05,ORTHOPEDIC05,
C9-8071,42396,GROOMING,03,GROOMING03,
F3-9541,42397,VACCINATIONS,05,VACCINATIONS05,
F8-4572,42397,VACCINATIONS,05,VACCINATIONS05,
C1-5134,42397,OFFICE FEES,03,OFFICE FEES03,
A9-7671,42397,GROOMING,03,GROOMING03,
A5-7559,42397,GROOMING,03,GROOMING03,
E2-1630,42397,GROOMING,01,GROOMING01,
G6-6501,42398,VACCINATIONS,05,VACCINATIONS05,
B4-6502,42398,VACCINATIONS,05,VACCINATIONS05,
C0-7460,42398,VACCINATIONS,05,VACCINATIONS05,
C2-7928,42399,VACCINATIONS,05,VACCINATIONS05,
E9-8282,42399,VACCINATIONS,05,VACCINATIONS05,
A4-2907,42399,VACCINATIONS,05,VACCINATIONS05,
C1-3686,42399,VACCINATIONS,05,VACCINATIONS05,
F9-8266,42399,VACCINATIONS,05,VACCINATIONS05,
D6-3379,42399,VACCINATIONS,05,VACCINATIONS05,
A9-3405,42399,VACCINATIONS,05,VACCINATIONS05,
B9-8353,42399,VACCINATIONS,05,VACCINATIONS05,
E9-2544,42399,HOSPITALIZATION,01,HOSPITALIZATION01,
E1-9181,42399,GENERAL SURGERIES,18,GENERAL SURGERIES18,
F9-3687,42399,GROOMING,02,GROOMING02,
P9-3625,42399,ORTHOPEDIC,07,ORTHOPEDIC07,
E1-9503,42399,GENERAL SURGERIES,19,GENERAL SURGERIES19,
E4-8705,42399,OFFICE FEES,02,OFFICE FEES02,
A3-4617,42399,GROOMING,03,GROOMING03,
B8-6241,42399,GENERAL SURGERIES,03,GENERAL SURGERIES03,
F6-3162,42400,VACCINATIONS,05,VACCINATIONS05,
F3-4759,42400,VACCINATIONS,05,VACCINATIONS05,
B4-7920,42400,VACCINATIONS,05,VACCINATIONS05,
F2-7061,42400,VACCINATIONS,05,VACCINATIONS05,
B7-5851,42400,VACCINATIONS,05,VACCINATIONS05,
C0-6664,42400,VACCINATIONS,05,VACCINATIONS05,
F6-4268,42400,VACCINATIONS,05,VACCINATIONS05,
B2-2017,42400,VACCINATIONS,05,VACCINATIONS05,
B8-2517,42400,GENERAL SURGERIES,03,GENERAL SURGERIES03,
E7-5113,42400,GENERAL SURGERIES,03,GENERAL SURGERIES03,
B4-6485,42401,GROOMING,03,GROOMING03,
D8-7114,42401,VACCINATIONS,05,VACCINATIONS05,
A2-5739,42401,VACCINATIONS,05,VACCINATIONS05,
F3-5155,42401,VACCINATIONS,05,VACCINATIONS05,
D8-6514,42401,VACCINATIONS,05,VACCINATIONS05,
D4-6512,42401,VACCINATIONS,05,VACCINATIONS05,
B2-4806,42401,VACCINATIONS,05,VACCINATIONS05,
C9-1148,42401,VACCINATIONS,05,VACCINATIONS05,
B5-4935,42401,VACCINATIONS,05,VACCINATIONS05,
C7-7326,42401,VACCINATIONS,05,VACCINATIONS05,
F9-8230,42401,VACCINATIONS,05,VACCINATIONS05,
F2-6880,42401,VACCINATIONS,05,VACCINATIONS05,
C2-3512,42401,VACCINATIONS,05,VACCINATIONS05,
D7-7044,42401,VACCINATIONS,05,VACCINATIONS05,
D8-5384,42401,VACCINATIONS,05,VACCINATIONS05,
A5-2808,42401,VACCINATIONS,05,VACCINATIONS05,
B0-5839,42401,VACCINATIONS,05,VACCINATIONS05,
C2-9908,42401,VACCINATIONS,05,VACCINATIONS05,
B1-8628,42401,VACCINATIONS,05,VACCINATIONS05,
C6-4979,42401,GENERAL SURGERIES,06,GENERAL SURGERIES06,
F5-3309,42401,GROOMING,03,GROOMING03,
A4-3651,42401,GROOMING,01,GROOMING01,
D3-7384,42401,GENERAL SURGERIES,03,GENERAL SURGERIES03,
F5-1543,42401,GENERAL SURGERIES,03,GENERAL SURGERIES03,
C1-9890,42401,GENERAL SURGERIES,03,GENERAL SURGERIES03,
F0-4365,42402,ORTHOPEDIC,06,ORTHOPEDIC06,
E1-7733,42402,VACCINATIONS,05,VACCINATIONS05,
E3-2802,42402,VACCINATIONS,05,VACCINATIONS05,
F1-1855,42402,VACCINATIONS,05,VACCINATIONS05,
E0-5967,42402,VACCINATIONS,05,VACCINATIONS05,
D4-8234,42402,VACCINATIONS,05,VACCINATIONS05,
E0-7827,42402,VACCINATIONS,05,VACCINATIONS05,
C6-3257,42402,VACCINATIONS,05,VACCINATIONS05,
B6-1552,42402,VACCINATIONS,05,VACCINATIONS05,
D8-6012,42402,VACCINATIONS,05,VACCINATIONS05,
D4-9241,42402,VACCINATIONS,05,VACCINATIONS05,
C8-6128,42402,VACCINATIONS,05,VACCINATIONS05,
E7-8773,42402,VACCINATIONS,05,VACCINATIONS05,
A8-8130,42402,GENERAL SURGERIES,16,GENERAL SURGERIES16,
E9-5340,42402,GENERAL SURGERIES,06,GENERAL SURGERIES06,
E3-2967,42402,GENERAL SURGERIES,15,GENERAL SURGERIES15,
D9-7894,42402,GROOMING,03,GROOMING03,
A4-3081,42402,GROOMING,03,GROOMING03,
E1-2237,42402,GROOMING,03,GROOMING03,
B3-5354,42402,GROOMING,03,GROOMING03,
C0-3201,42402,GROOMING,01,GROOMING01,
B3-1819,42402,GROOMING,01,GROOMING01,
E5-4383,42402,GROOMING,01,GROOMING01,
B5-2410,42402,GENERAL SURGERIES,03,GENERAL SURGERIES03,
C5-7835,42402,GENERAL SURGERIES,03,GENERAL SURGERIES03,
B9-1595,42403,GENERAL SURGERIES,13,GENERAL SURGERIES13,
A0-7808,42403,VACCINATIONS,05,VACCINATIONS05,
B5-6904,42403,VACCINATIONS,05,VACCINATIONS05,
D5-6820,42403,VACCINATIONS,05,VACCINATIONS05,
F1-3022,42403,VACCINATIONS,05,VACCINATIONS05,
A0-8561,42403,VACCINATIONS,05,VACCINATIONS05,
F3-2098,42403,VACCINATIONS,05,VACCINATIONS05,
C9-8216,42403,VACCINATIONS,05,VACCINATIONS05,
E0-1548,42403,VACCINATIONS,05,VACCINATIONS05,
A3-6462,42403,VACCINATIONS,05,VACCINATIONS05,
F3-4260,42403,VACCINATIONS,05,VACCINATIONS05,
E9-7775,42403,VACCINATIONS,05,VACCINATIONS05,
A0-1401,42403,VACCINATIONS,05,VACCINATIONS05,
C1-5203,42403,VACCINATIONS,05,VACCINATIONS05,
B1-6150,42403,VACCINATIONS,05,VACCINATIONS05,
B7-8246,42403,VACCINATIONS,05,VACCINATIONS05,
F4-7043,42403,VACCINATIONS,05,VACCINATIONS05,
D7-4201,42403,VACCINATIONS,05,VACCINATIONS05,
C5-5165,42403,VACCINATIONS,05,VACCINATIONS05,
A7-7991,42403,VACCINATIONS,05,VACCINATIONS05,
E4-6373,42403,VACCINATIONS,05,VACCINATIONS05,
A1-9112,42403,VACCINATIONS,05,VACCINATIONS05,
A9-8945,42403,VACCINATIONS,05,VACCINATIONS05,
B1-2523,42403,VACCINATIONS,05,VACCINATIONS05,
F5-4982,42403,VACCINATIONS,05,VACCINATIONS05,
D0-5056,42403,VACCINATIONS,05,VACCINATIONS05,
F1-6576,42403,VACCINATIONS,05,VACCINATIONS05,
F7-7614,42403,VACCINATIONS,05,VACCINATIONS05,
A7-3727,42403,VACCINATIONS,05,VACCINATIONS05,
A1-1194,42403,VACCINATIONS,05,VACCINATIONS05,
A2-7760,42403,VACCINATIONS,05,VACCINATIONS05,
F1-3836,42403,VACCINATIONS,05,VACCINATIONS05,
D1-8781,42403,VACCINATIONS,03,VACCINATIONS03,
D9-8287,42403,VACCINATIONS,04,VACCINATIONS04,
A9-9449,42403,GENERAL SURGERIES,07,GENERAL SURGERIES07,
B5-2832,42403,GENERAL SURGERIES,09,GENERAL SURGERIES09,
E3-5361,42403,OFFICE FEES,01,OFFICE FEES01,
E1-5919,42403,GROOMING,01,GROOMING01,
E5-4359,42403,GROOMING,03,GROOMING03,
A7-3673,42403,GENERAL SURGERIES,19,GENERAL SURGERIES19,
F1-7260,42403,GROOMING,03,GROOMING03,
